Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,15602","-2,919","0,5076",0,0,0,"195,22","146,42","-16,934","-0,5147","158,68","-1,5782","301,55",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/base_link.STL,,Frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Firstlink,"-1,1799","0,3577","1,368",0,0,0,"195,22","146,42","-0,5147","16,934","301,55","1,5782","158,68",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Firstlink.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Firstlink.STL,,Slider-1,Origin_J12,Achse7,J1,prismatic,"1,0238854350711","-1,55099999999999","0,1499044295972","1,5707963267949",0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Secondlink,"0,211990772854572","-0,00730432715233398","-0,6454843568912",0,0,0,"195,222198556067","146,424405806793","-0,514695231402459","16,933990275106","301,553722475034","1,57818445418204","158,679413231981",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Secondlink.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Secondlink.STL,,Joint1-1,Origin_J22,Achse2,J2,continuous,"-1,39189794651184","0,365000000478744","2,01349997543614",0,0,0,Firstlink,0,0,1,,,,,,,,,,,,
Thirdlink,"0,351063214375461","0,07298918439661","-0,694484381880002",0,0,0,"195,222198556067","146,424405806793","-0,514695231402459","16,933990275106","301,553722475034","1,57818445418204","158,679413231981",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Thirdlink.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Thirdlink.STL,,Joint4-1,Origin_J32,Achse1,J3,continuous,"-0,139072441520889","-0,080293511548944","0,0490000249888016",0,0,0,Secondlink,"0,866025403784425","0,500000000000024",0,,,,,,,,,,,,
Fourthlink,"0,464870190757157","0,138695672846245","-0,694484381880006",0,0,0,"195,222198556067","146,424405806793","-0,514695231402459","16,933990275106","301,553722475034","1,57818445418204","158,679413231981",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Fourthlink.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Fourthlink.STL,,Joint5-1,Origin_J42,Achse4,J4,continuous,"-0,113806976381696","-0,0657064884496346",0,0,0,0,Thirdlink,"-0,500000000000022","0,866025403784426",0,,,,,,,,,,,,
Fifthlink,"0,464665360686032","0,139050448936402","-0,305484407029091",0,0,0,"195,222198556067","146,424405806793","-0,514695231402459","16,933990275106","301,553722475034","1,57818445418204","158,679413231981",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Fifthlink.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Fifthlink.STL,,Joint6-1,Origin_J52,Achse3,J5,continuous,"0,000204830071124262","-0,000354776090157438","-0,388999974850916",0,0,0,Fourthlink,0,0,-1,,,,,,,,,,,,
Sixthlink,"0,464665360686032","0,139050448936402","-0,305484407029091",0,0,0,"195,222198556067","146,424405806793","-0,514695231402459","16,933990275106","301,553722475034","1,57818445418204","158,679413231981",0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Sixthlink.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Model_22-02-28/meshes/Sixthlink.STL,,Joint7-1,Origin_J5,Achse5,J6,continuous,0,0,0,0,0,0,Fifthlink,"0,5","-0,86603",0,,,,,,,,,,,,
