Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,053792","0,064697","0,12202",0,0,0,"0,46766","0,00043052","3,7986E-36","4,7E-37","0,00043052","-1,3792E-18","0,00056143",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/base_link.STL,,shoulder_1_2020-01-04_V1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,"1,94289029309402E-16","2,77555756156289E-17","0,02515",0,0,0,"0,312923284269241","0,000220893589443271","-2,03287907341008E-20","7,54861617846302E-19","0,000220893589443271","-8,65171134192012E-21","0,000309833166837082",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link1.STL,,shoulder_2_2020-01-04-5,Origin_joint1,Achse1 <shoulder_2_2020-01-04-5>,joint1,revolute,"0,053792","0,039547","0,21702","-1,5708","-0,92583",0,base_link,0,0,-1,0,0,"-3,14","3,14",,,,,,,,
Link2,"-1,38777878078145E-17",0,"0,0334717054775284",0,0,0,"1,01481172145383","0,0013529646733384","5,42101086242752E-20","5,35047043844334E-19","0,0013529646733384","1,50157377371074E-19","0,000857112423960414",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link2.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link2.STL,,shoulder_3_2020-01-04-1;upperarm_2020-01-04-1,Origin_Joint2,Achse6,Joint2,revolute,0,"-0,13061","0,02515","1,5708","-0,89897","-3,1416",Link1,0,0,-1,0,0,"-3,14","3,14",,,,,,,,
Link3,0,"1,11022302462516E-16","-0,05",0,0,0,"0,312923284269241","0,000220893589443272",0,"-4,06575814682064E-20","0,000220893589443271","-1,01643953670516E-19","0,000309833166837082",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link3.STL,,elbow_2020-01-04-2,Origin_Joint3,Achse2,Joint3,revolute,0,0,"-0,18339","1,5708","1,0303","-1,5708",Link2,0,0,-1,0,0,-314,314,,,,,,,,
Link4,"-2,22044604925031E-16","-8,32667268468867E-17","0,0104194342996191",0,0,0,"0,279844788960515","0,00050656775016726",0,"-1,27901975035399E-18","0,00050656775016726","1,15196480826585E-19","0,000129410571319802",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link4.STL,,elbow_wrist_2020-01-04-1;middlearm_2020-01-04_V1-1,Origin_Joint4,Achse3,Joint4,revolute,0,"-0,11356","-0,05","-1,5708","-0,75823","-3,1416",Link3,0,0,-1,0,0,-314,314,,,,,,,,
Link5,"-2,22044604925031E-16",0,"-8,32667268468867E-16",0,0,0,"0,165580782400104","7,81575788924823E-05","3,3881317890172E-21","-1,32137139771671E-19","7,81575788924823E-05","-2,03287907341032E-20","0,000119549324892875",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link5.STL,,wrist_2020-01-04-1,Origin_Joint5,Achse4,Joint5,revolute,0,0,"0,16644","1,5708","-1,5184",0,Link4,0,0,-1,0,0,-314,314,,,,,,,,
Link6,"-1,11022302462516E-16","1,49880108324396E-15","-0,0605243584568671",0,0,0,"0,191483543777463","8,77951239918788E-05","6,7762635780344E-21","6,43745039913268E-20","8,77951239918788E-05","4,74338450462408E-20","0,000121228070353681",0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link6.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdftest1128mitmesh/meshes/Link6.STL,,wrist_hand_2020-02-10-1;Hand_2020-02-10-1,Origin_Joint6,Achse5,Joint6,revolute,0,"0,01",0,"1,5708","0,30176",0,Link5,0,0,-1,0,0,-314,314,,,,,,,,
